;All groups of offences;All groups of offences;¬ Property theft;¬ Property theft;¬ Violence and maltreatment;¬ Violence and maltreatment;¬ Drug and alcohol offences;¬ Drug and alcohol offences;¬ Public order and integrity violations;¬ Public order and integrity violations;¬ Traffic offences;¬ Traffic offences;¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);¬ Other offences (incl. Other offences for profit, Criminal damage and Sexual offences);
Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;Absolute figures;Per 1 000 population;
2017-2018;;;;;;;;;;;;;;;
Gjesdal;551;46.4;162;13.7;53;4.5;121;10.2;35;2.9;80;6.7;102;8.6;
Sola;1203;45.8;286;10.9;105;4.0;289;11.0;110;4.2;134;5.1;280;10.7;
Randaberg;455;41.5;78;7.1;44;4.0;61;5.6;131;11.9;47;4.3;96;8.7;
Forsand;48;38.5;12;9.6;6;4.8;6;4.8;..;..;7;5.6;15;12.0;
Strand;418;33.1;62;4.9;63;5.0;111;8.8;41;3.2;59;4.7;82;6.5;
Hjelmeland;63;23.1;11;4.0;10;3.7;5;1.8;8;2.9;7;2.6;23;8.4;
Suldal;86;22.3;16;4.2;13;3.4;7;1.8;7;1.8;13;3.4;32;8.3;
Sauda;191;41.0;25;5.4;26;5.6;48;10.3;26;5.6;20;4.3;47;10.1;
Finnøy;104;32.5;12;3.8;9;2.8;10;3.1;7;2.2;31;9.7;36;11.3;
Rennesøy;174;35.9;30;6.2;25;5.2;20;4.1;7;1.4;58;12.0;34;7.0;
Kvitsøy;8;14.8;..;..;..;..;..;..;..;..;..;..;..;..;
Bokn;54;64.0;8;9.5;..;..;..;..;..;..;25;29.6;14;16.6;
Tysvær;386;35.0;79;7.2;42;3.8;47;4.3;27;2.4;100;9.1;92;8.3;
Karmøy;2002;47.4;387;9.2;308;7.3;392;9.3;200;4.7;332;7.9;384;9.1;
Utsira;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Vindafjord;388;44.1;38;4.3;36;4.1;74;8.4;94;10.7;98;11.1;49;5.6;
Unknown municipalities, Rogaland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Hordaland;27776;53.2;8898;17.0;3332;6.4;4025;7.7;2715;5.2;3716;7.1;5091;9.7;
Bergen;18876;67.5;7143;25.5;2217;7.9;2595;9.3;1922;6.9;1926;6.9;3074;11.0;
Etne;145;35.5;20;4.9;16;3.9;19;4.7;14;3.4;46;11.3;31;7.6;
Sveio;244;42.6;27;4.7;30;5.2;26;4.5;14;2.4;91;15.9;57;10.0;
Bømlo;276;23.2;44;3.7;43;3.6;41;3.4;29;2.4;47;3.9;73;6.1;
Stord;959;51.1;151;8.0;132;7.0;207;11.0;141;7.5;150;8.0;179;9.5;
Fitjar;103;32.2;12;3.8;16;5.0;18;5.6;11;3.4;24;7.5;23;7.2;
Tysnes;105;36.8;17;6.0;13;4.6;15;5.3;9;3.2;18;6.3;34;11.9;
Kvinnherad;359;27.2;57;4.3;43;3.3;65;4.9;37;2.8;56;4.2;103;7.8;
Jondal;21;19.2;..;..;..;..;5;4.6;..;..;..;..;8;7.3;
Odda;471;68.9;78;11.4;39;5.7;51;7.5;34;5.0;191;27.9;80;11.7;
Ullensvang;65;19.3;12;3.6;9;2.7;8;2.4;6;1.8;12;3.6;19;5.6;
Eidfjord;83;89.2;9;9.7;..;..;..;..;..;..;53;56.9;10;10.7;
Ulvik;23;20.6;6;5.4;..;..;..;..;..;..;..;..;6;5.4;
Granvin;33;35.4;7;7.5;..;..;..;..;..;..;11;11.8;6;6.4;
Voss;701;48.1;206;14.1;71;4.9;99;6.8;51;3.5;158;10.8;118;8.1;
Kvam;205;24.2;31;3.7;27;3.2;22;2.6;25;3.0;44;5.2;57;6.7;
Fusa;87;22.2;21;5.4;10;2.6;13;3.3;..;..;15;3.8;25;6.4;
Samnanger;77;31.3;15;6.1;..;..;8;3.2;8;3.2;23;9.3;20;8.1;
Os (Hordaland);864;42.0;154;7.5;131;6.4;185;9.0;91;4.4;131;6.4;173;8.4;
Austevoll;103;19.8;15;2.9;19;3.7;15;2.9;7;1.3;16;3.1;32;6.2;
Sund;200;28.2;36;5.1;27;3.8;48;6.8;12;1.7;25;3.5;53;7.5;
Fjell;1237;48.1;331;12.9;128;5.0;231;9.0;80;3.1;150;5.8;318;12.4;
Askøy;942;32.4;205;7.1;125;4.3;180;6.2;80;2.8;133;4.6;220;7.6;
Vaksdal;121;29.3;20;4.8;11;2.7;..;..;..;..;48;11.6;34;8.2;
Modalen;19;50.0;..;..;..;..;8;21.1;..;..;5;13.2;..;..;
Osterøy;153;18.8;25;3.1;26;3.2;9;1.1;12;1.5;33;4.1;49;6.0;
Meland;239;29.6;50;6.2;45;5.6;33;4.1;18;2.2;42;5.2;51;6.3;
Øygarden;135;27.7;25;5.1;20;4.1;16;3.3;9;1.8;15;3.1;51;10.5;
Radøy;142;27.7;35;6.8;22;4.3;14;2.7;9;1.8;32;6.2;31;6.0;
Lindås;672;42.6;132;8.4;79;5.0;82;5.2;73;4.6;182;11.5;126;8.0;
Austrheim;82;28.3;12;4.1;16;5.5;..;..;9;3.1;19;6.5;24;8.3;
Fedje;8;14.3;..;..;..;..;..;..;..;..;..;..;..;..;
Masfjorden;36;20.8;..;..;..;..;..;..;..;..;21;12.1;..;..;
Unknown municipalities, Hordaland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Sogn og Fjordane;4238;38.4;544;4.9;496;4.5;686;6.2;400;3.6;1368;12.4;746;6.8;
